AP	AP
SP	SP
pau	SP
a	a
あ	a
i	i
い	i
u	u
う	u
e	e
え	e
o	o
お	o
ka	k a
か	k a
ki	k i
き	k i
ku	k u
く	k u
ke	k e
け	k e
ko	k o
こ	k o
sa	s a
さ	s a
shi	sh i
し	sh i
su	s u
す	s u
se	s e
せ	s e
so	s o
そ	s o
ta	t a
た	t a
chi	ch i
ち	ch i
tsu	ts u
つ	ts u
te	t e
て	t e
to	t o
と	t o
na	n a
な	n a
ni	n i
に	n i
nu	n u
ぬ	n u
ne	n e
ね	n e
no	n o
の	n o
ha	h a
は	h a
hi	h i
ひ	h i
fu	f u
ふ	f u
he	h e
へ	h e
ho	h o
ほ	h o
ma	m a
ま	m a
mi	m i
み	m i
mu	m u
む	m u
me	m e
め	m e
mo	m o
も	m o
ya	y a
や	y a
yu	y u
ゆ	y u
yo	y o
よ	y o
ra	r a
ら	r a
ri	r i
り	r i
ru	r u
る	r u
re	r e
れ	r e
ro	r o
ろ	r o
wa	w a
わ	w a
wo	w o
を	w o
n	N
ん	N
ga	g a
が	g a
gi	g i
ぎ	g i
gu	g u
ぐ	g u
ge	g e
げ	g e
go	g o
ご	g o
za	z a
ざ	z a
ji	j i
じ	j i
zu	z u
ず	z u
ze	z e
ぜ	z e
zo	z o
ぞ	z o
da	d a
だ	d a
ji	j i
ぢ	d i
zu	z u
づ	d u
de	d e
で	d e
do	d o
ど	d o
ba	b a
ば	b a
bi	b i
び	b i
bu	b u
ぶ	b u
be	b e
べ	b e
bo	b o
ぼ	b o
pa	p a
ぱ	p a
pi	p i
ぴ	p i
pu	p u
ぷ	p u
pe	p e
ぺ	p e
po	p o
ぽ	p o
kya	ky a
きゃ	ky a
kyu	ky u
きゅ	ky u
kyo	ky o
きょ	ky o
gya	gy a
ぎゃ	gy a
gyu	gy u
ぎゅ	gy u
gyo	gy o
ぎょ	gy o
sha	sh a
しゃ	sh a
shu	sh u
しゅ	sh u
sho	sh o
しょ	sh o
ja	j a
じゃ	j a
ju	j u
じゅ	j u
jo	j o
じょ	j o
cha	ch a
ちゃ	ch a
chu	ch u
ちゅ	ch u
cho	ch o
ちょ	ch o
nya	ny a
にゃ	ny a
nyu	ny u
にゅ	ny u
nyo	ny o
にょ	ny o
hya	hy a
ひゃ	hy a
hyu	hy u
ひゅ	hy u
hyo	hy o
ひょ	hy o
bya	by a
びゃ	by a
byu	by u
びゅ	by u
byo	by o
びょ	by o
pya	py a
ぴゃ	py a
pyu	py u
ぴゅ	py u
pyo	py o
ぴょ	py o
mya	my a
みゃ	my a
myu	my u
みゅ	my u
myo	my o
みょ	my o
rya	ry a
りゃ	ry a
ryu	ry u
りゅ	ry u
ryo	ry o
りょ	ry o
ぢゃ	j a
ぢゅ	j u
ぢょ	j o
っ	cl
vfa	vf a
'あ	vf a
vfi	vf i
'い	vf i
vfu	vf u
'う	vf u
vfe	vf e
'え	vf e
vfo	vf o
'お	vf o
vfn	vf n
'ん	vf n
fa	f a
ふぁ	f a
fi	f i
ふぃ	f i
fe	f e
ふぇ	f e
fo	f o
ふぉ	f o
fyu	fy u
ふゅ	fy u
kA	k A
カ	k A
kI	k I
キ	k I
kU	k U
ク	k U
kE	k E
ケ	k E
kO	k O
コ	k O
sA	s A
サ	s A
shI	sh I
シ	sh I
sU	s U
ス	s U
sE	s E
セ	s E
sO	s O
ソ	s O
tA	t A
タ	t A
chI	ch I
チ	ch I
tsU	ts U
ツ	ts U
tE	t E
テ	t E
tO	t O
ト	t O
nA	n A
ナ	n A
nI	n I
ニ	n I
nU	n U
ヌ	n U
nE	n E
ネ	n E
nO	n O
ノ	n O
hA	h A
ハ	h A
hI	h I
ヒ	h I
fU	f U
フ	f U
hE	h E
ヘ	h E
hO	h O
ホ	h O
mA	m A
マ	m A
mI	m I
ミ	m I
mU	m U
ム	m U
mE	m E
メ	m E
mO	m O
モ	m O
yA	y A
ヤ	y A
yU	y U
ユ	y U
yE	y E
イェ	y E
yO	y O
ヨ	y O
rA	r A
ラ	r A
rI	r I
リ	r I
rU	r U
ル	r U
rE	r E
レ	r E
rO	r O
ロ	r O
wA	w A
ワ	w A
wO	w O
ヲ	w O
gA	g A
ガ	g A
gI	g I
ギ	g I
gU	g U
グ	g U
gE	g E
ゲ	g E
gO	g O
ゴ	g O
zA	z A
ザ	z A
jI	j I
ジ	j I
zU	z U
ズ	z U
zE	z E
ゼ	z E
